Metabolite,´úÐ»Îï,P_value,FDR,VIP_pred_OPLS-DA,VIP_PLS-DA,FC(KA/HA),Log2FC(KA/HA),Significant,Regulate,"KEGG Compound ID","KEGG Compound First Category","KEGG Compound Second Category","KEGG Pathway ID","KEGG Pathway Description","KEGG Pathway First Category","KEGG Pathway Second Category","Library ID","HMDB Superclass","HMDB Class","HMDB Subclass","CAS ID",M/Z,"Retention time",Adducts,Formula,"Fragmentation Score","Theoretical Fragmentation Score","Metab ID",ID,Mode,KA1,KA10,KA11,KA12,KA6,KA8,HA12,HA14,HA16,HA3,HA4,HA6,ka_mean,ka_SD,ha_mean,ha_SD
"N-Methyl-L-Glutamic Acid","N -¼×»ù- L -¹È°±Ëá",0.02261,0.08846,1.2533,1.1535,0.7087,-0.4968,yes,down,C01046,-,-,map01100,"Metabolic pathways",Metabolism,"Global and overview maps",HMDB0062660,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",35989-16-3,144.065348801,2.21593333333,M+H-H2O,C6H11NO4,57,0,metab_666,pos_1621,pos,726500,526400,945600,535200,561400,772300,1160000,775600,1201000,881600,755900,965600,,,,
"3-Isopropenylpentanedioic acid","3 -Òì±ûÏ©»ùÎì¶þËá",0.02571,0.09496,1.2523,1.2202,0.2796,-1.8386,yes,down,-,-,-,-,-,-,-,HMDB0032352,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",6839-75-4,389.14499003,5.88696666667,2M+FA-H,C8H12O4,0,43.4,metab_8926,neg_903,neg,10340,10530,52570,10750,14360,26070,69010,13810,117100,60840,56230,128700,,,,
"Heptadecanoyl carnitine",Ê®ÆßÍéõ£Èâ¼î,0.02,0.08571,1.2522,1.2065,0.4135,-1.274,yes,down,-,-,-,-,-,-,-,HMDB0006210;LMFA07070067,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",106182-29-0,450.298939283,6.73421666667,M+K-2H,C24H47NO4,0,37.7,metab_6514,neg_1152,neg,92790,34850,117600,39540,41460,60360,108300,140500,179400,281100,128400,97330,,,,
2-Hydroxyethanesulfonate,"2 -ôÇ»ùÒÒ»ÇËáÑÎ",0.02457,0.09379,1.2522,1.2598,0.4688,-1.093,yes,down,C05123,-,-,map01100;map00430,"Metabolic pathways;Taurine and hypotaurine metabolism",Metabolism;Metabolism,"Global and overview maps;Metabolism of other amino acids",HMDB0003903,"Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives",107-36-8,124.990374646,0.667433333333,M-H,C2H6O4S,0,52.6,metab_8525,neg_528,neg,217200,287900,418400,152800,165400,199900,702000,252300,705500,610700,243000,562000,,,,
Indan-1-ol,1-Üá´¼,0.02812,0.09568,1.252,1.1398,1.5553,0.6372,yes,up,C01710,-,-,-,-,-,-,HMDB0059601,Benzenoids,Indanes,"Not Available",-,135.080286466,6.29546666667,"M+H-H2O, M+H",C9H10O,0,40.2,metab_6248,pos_922,pos,1265000,1400000,1117000,1875000,2352000,1771000,984300,1434000,1124000,904100,1220000,619700,,,,
M-Xylene,-,0.026,0.09247,1.251,1.1568,1.6299,0.7048,yes,up,C07208,-,-,map01100,"Metabolic pathways",Metabolism,"Global and overview maps",HMDB0059810,Benzenoids,"Benzene and substituted derivatives",Xylenes,108-38-3,107.085699102,6.28761666667,M+H,C8H10,92.5,0,metab_3991,pos_4957,pos,128000,152400,125900,204400,257900,196300,92550,162600,108500,89780,138600,61670,,,,
"2,6-Diamino-5-hydroxyhexanoic acid","2£¬6 -¶þ°±»ù- 5 -ôÇ»ù¼ºËá",0.02673,0.09386,1.2474,1.1534,0.5045,-0.9871,yes,down,C16741,-,-,map01100;map00310,"Metabolic pathways;Lysine degradation",Metabolism;Metabolism,"Global and overview maps;Amino acid metabolism",HMDB0000450;HMDB0245508,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1190-94-9,204.133981144,1.89588333333,M+ACN+H,C6H14N2O3,0,53.2,metab_5144,pos_6040,pos,680800,683100,1625000,423700,394800,811900,1827000,828300,2275000,1755000,964800,1508000,,,,
Lauryldiethanolamine,ÔÂ¹ð»ù¶þÒÒ´¼°·,0.03386,0.1055,1.2472,1.087,1.3812,0.4659,yes,up,-,-,-,-,-,-,-,-,-,-,-,-,274.273423379,6.2243,"M+H-H2O, M+H",C16H35NO2,69.1,0,metab_6273,pos_946,pos,28490000,31560000,27970000,29540000,48370000,36040000,30160000,23120000,21090000,23330000,28700000,19820000,,,,
D-Glucamine,"D -°±»ùÆÏÌÑÌÇ",0.02753,0.09501,1.2462,1.4185,1.5366,0.6197,yes,up,-,-,-,-,-,-,-,HMDB0246693,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",-,146.0809703,1.91188333333,M+H-2H2O,C6H15NO5,0,55.7,metab_5127,pos_6025,pos,494300,388400,674900,341600,383100,610600,316300,284500,394400,308600,282700,296200,,,,
Glycylglycylglycine,¸Ê°±õ£¸Ê°±õ£¸Ê°±Ëá,0.02941,0.09794,1.2428,1.0858,0.8063,-0.3106,yes,down,-,-,-,-,-,-,-,HMDB0029419,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",556-33-2,154.060879341,2.67331666667,M+H-2H2O,C6H11N3O4,0,38.6,metab_703,pos_1655,pos,57500,61340,75480,56140,46190,64790,72710,71170,91770,78840,71920,61840,,,,
2-Pyrrolidinone,2-ßÁ¿©ÍéÍª,0.02916,0.09722,1.2411,1.4111,1.4519,0.5379,yes,up,C11118,-,-,-,-,-,-,HMDB0002039,"Organoheterocyclic compounds",Pyrrolidines,Pyrrolidones,616-45-5,86.0604321201,1.91188333333,M+H,C4H7NO,57.1,0,metab_626,pos_1585,pos,416000,353700,561300,304100,333200,523900,290400,256700,346600,276200,270300,276200,,,,
LysoPC(20:1(11Z)/0:0),-,0.03235,0.103,1.2399,1.0855,0.6024,-0.7312,yes,down,C04230,Lipids,Phospholipids,map00564;map05231,"Glycerophospholipid metabolism;Choline metabolism in cancer","Metabolism;Human Diseases","Lipid metabolism;Cancer: overview",HMDB0010391,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,-,550.38573562,7.68765,M+H,C28H56NO7P,0,89.8,metab_2341,pos_3280,pos,4048000,2136000,4427000,1676000,2203000,2917000,3596000,4840000,5109000,7608000,3933000,3811000,,,,
"(2S,3S,4S,5R)-3,4,5-Trihydroxy-6-sulfooxyoxane-2-carboxylic acid","£¨2S£¬3S£¬4S£¬5R£©-3,4,5-ÈýôÇ»ù-6-»Ç»ùÑõÍé-2-ôÈËá",0.03686,0.115,1.2388,1.2066,0.2779,-1.8474,yes,down,-,-,-,-,-,-,-,HMDB0258086,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",-,254.981231477,0.7064,M-H2O-H,C6H10O10S,0,61.8,metab_7785,neg_2317,neg,4201000,2436000,6472000,1250000,1522000,3697000,22690000,3976000,13780000,9867000,3725000,16410000,,,,
PE(18:3/0:0),-,0.02291,0.09144,1.2373,1.1586,1.6545,0.7264,yes,up,-,-,-,-,-,-,-,-,-,-,-,-,474.262044094,6.4045,M-H,C23H42NO7P,94,0,metab_6417,neg_1062,neg,368800,222100,350600,322900,326700,224400,82210,291200,152000,246000,233400,92690,,,,
"L-Hexahydro-3-imino-1,2,4-oxadiazepine-3-carboxylic acid","L-ÁùÇâ-3-ÑÇ°±»ù-1,2,4-¶ñ¶þµªÔÓ-3-ôÈËá",0.02343,0.09156,1.2368,1.221,0.2841,-1.8155,yes,down,-,-,-,-,-,-,-,HMDB0030402,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",21539-44-6,363.129344431,5.27638333333,2M+FA-H,C5H9N3O3,0,39.6,metab_8898,neg_879,neg,31920,17980,137300,14130,40140,33780,165600,12980,242100,163600,126000,259100,,,,
Ergocornine,Âó½Ç¿ÂÄþ¼î,0.04465,0.1241,1.2359,1.1398,18.4637,4.2066,yes,up,C09162,-,-,-,-,-,-,HMDB0251906,"Alkaloids and derivatives","Ergoline and derivatives","Lysergic acids and derivatives",564-36-3,582.271599271,6.00036666667,M+Na-2H,C31H39N5O5,0,64,metab_8969,neg_942,neg,76970,254900,30050,47380,171000,41280,13140,1552,9230,2660,4397,2681,,,,
Cinnamaldehyde,Èâ¹ðÈ©,0.03001,0.09905,1.2351,1.1381,1.6718,0.7414,yes,up,C00903,-,-,map01100;map04750,"Metabolic pathways;Inflammatory mediator regulation of TRP channels","Metabolism;Organismal Systems","Global and overview maps;Sensory system",HMDB0245299;HMDB0258628;HMDB0003441;MJDBOTE0001083,"Phenylpropanoids and polyketides",Cinnamaldehydes,"Not Available",104-55-2,133.064445439,6.27965,"M+H-H2O, M+H",C9H8O,73.1,0,metab_4201,pos_517,pos,175400,189500,145200,265200,343000,242100,120400,205400,142900,107900,166500,70230,,,,
"2',3'-Dideoxy-3'-fluorouridine","2 '£¬3 ' - Dideoxy-3 ' -·úëåÜÕ",0.04079,0.1183,1.2327,1.1509,0.2623,-1.9307,yes,down,-,-,-,-,-,-,-,HMDB0245543,"Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'',3''-dideoxyribonucleosides",-,263.102088565,3.82218333333,M+CH3OH+H,C9H11FN2O4,0,50.7,metab_4849,pos_5767,pos,39720,17950,71230,13230,10300,27160,189000,23090,192900,154500,34390,90800,,,,
DG(TXB2/i-14:0/0:0),-,0.03551,0.1081,1.2318,1.2187,0.1859,-2.4274,yes,down,-,-,-,-,-,-,-,HMDB0298802,"Not Available","Not Available","Not Available",-,693.436734778,5.94411666667,M+K,C37H66O9,0,36.1,metab_4371,pos_5332,pos,27250,48470,215700,55150,43740,93970,656900,174300,354900,395500,106900,917100,,,,
"Ginkgoic acid",°×¹ûËá,0.03009,0.103,1.2317,1.1562,1.3631,0.4469,yes,up,C10794,-,-,-,-,-,-,HMDB0033897,Benzenoids,"Benzene and substituted derivatives","Benzoic acids and derivatives",22910-60-7,327.232513862,6.41933333333,M-H2O-H,C22H34O3,0,46.1,metab_7156,neg_1734,neg,326700,346900,380200,403600,434400,392500,150000,348200,292000,347300,333100,205200,,,,
"(+)-cis-5,6-Dihydro-5-hydroxy-4-methoxy-6-(2-phenylethyl)-2H-pyran-2-one","£¨+£©-Ë³Ê½-5,6-¶þÇâ-5-ôÇ»ù-4-¼×Ñõ»ù-6-£¨2-±½ÒÒ»ù£©-2H-ßÁà«-2-Íª",0.03216,0.1027,1.2303,1.1223,1.5433,0.626,yes,up,-,-,-,-,-,-,-,HMDB0029575,"Phenylpropanoids and polyketides",Kavalactones,"Not Available",52247-81-1,281.137788173,6.29546666667,M+CH3OH+H,C14H16O4,0,61.1,metab_3972,pos_4938,pos,2667000,2973000,2456000,4145000,5113000,3732000,2127000,3056000,2489000,1961000,2654000,1373000,,,,
"16-Hydroxyhexadecanoic acid","16 -ôÇ»ùÊ®ÁùÍéËá",0.02097,0.08795,1.2301,1.1627,1.3945,0.4797,yes,up,C18218,-,-,map01100,"Metabolic pathways",Metabolism,"Global and overview maps",HMDB0006294,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",506-13-8,271.227578574,6.67931666667,M-H,C16H32O3,0,68.1,metab_6473,neg_1114,neg,1589000,949900,1215000,1431000,1119000,1246000,588100,1079000,789000,939800,1216000,801000,,,,
"9,10,13-TriHOME","11Ê®°ËÌ¼Ï©Ëá£¬9,10,13-ÈýôÇ»ù-",0.02935,0.102,1.2299,1.1678,0.3731,-1.4224,yes,down,C14835,-,-,map00591,"Linoleic acid metabolism",Metabolism,"Lipid metabolism",HMDB0004710,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",29907-57-1,329.232942343,6.16128333333,M-H,C18H34O5,0,68.3,metab_9023,neg_993,neg,85560,213300,200700,87890,62470,106700,169900,427700,269800,416100,146800,597600,,,,
Nivalenol,¹ÏÎ®Á­¾ú´¼,0.03504,0.1073,1.2286,1.1205,1.6128,0.6896,yes,up,C06080,-,-,-,-,-,-,HMDB0004304,"Lipids and lipid-like molecules","Prenol lipids",Sesquiterpenoids,23282-20-4,295.117050589,6.28761666667,M+H-H2O,C15H20O7,0,42.1,metab_3990,pos_4956,pos,515500,622900,486200,894400,1092000,815500,414400,601600,471900,379300,591000,286200,,,,
"Trans-4-Aminocyclohexanecarboxylic acid",-,0.03078,0.1004,1.2254,1.294,1.0467,0.0658,yes,up,-,-,-,-,-,-,-,HMDB0246355,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,108.080911579,7.83811666667,M+H-2H2O,C7H13NO2,0,49.4,metab_2538,pos_3476,pos,359200,333600,337300,332800,354200,355000,343300,325900,324000,334700,320300,332100,,,,
Nitrosobenzene,ÑÇÏõ»ù±½,0.02863,0.1004,1.2248,1.1524,1.0771,0.1072,yes,up,C06876,-,-,-,-,-,-,HMDB0255658,Benzenoids,"Benzene and substituted derivatives","Not Available",586-96-9,152.0343362,6.08663333333,M+FA-H,C6H5NO,0,49.1,metab_7292,neg_1858,neg,152900,172100,162500,160500,178900,171000,149900,148600,153100,153300,158000,163600,,,,
Embelin,ËáÌÙ×Ó·Ó,0.01944,0.08498,1.2192,1.218,1.1944,0.2563,yes,up,C10342,-,-,-,-,-,-,HMDB0251767;LMPK15050006,"Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",550-24-3,293.175529864,6.2438,M-H,C17H26O4,0,45.3,metab_6377,neg_1026,neg,287900,369300,336000,367800,388700,391800,314500,264600,310200,266300,288300,348900,,,,
"N-Acetylglucosamine 6-sulfate","N -ÒÒõ£°±»ùÆÏÌÑÌÇ- 6 -»ÇËá",0.03348,0.1083,1.2187,1.2318,0.4618,-1.1147,yes,down,C04132,-,-,-,-,-,-,HMDB0000814,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",10356-99-7,300.039183799,0.690783333333,M-H,C8H15NO9S,0,51.5,metab_8561,neg_561,neg,104500,117800,165400,70360,63600,94670,301900,96380,331600,271900,99820,232900,,,,
"6-Hydroxydodeca-8,10-dienoylcarnitine","6 -ôÇ»ùÊ®¶þÌ¼- 8£¬10 -¶þÏ©õ£»ùÈâ¼î",0.0323,0.1029,1.2159,1.1628,1.4829,0.5684,yes,up,-,-,-,-,-,-,-,HMDB0241251,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",-,338.231734771,6.07278333333,"M+H-H2O, M+H",C19H33NO5,0,59.1,metab_3604,pos_459,pos,114500,246800,192600,142800,161000,155700,97230,118300,154200,101200,117500,95280,,,,
Hydroxyphenylacetylglycine,ôÇ»ù±½ÒÒõ£»ù¸Ê°±Ëá,0.03525,0.1078,1.215,1.0938,0.6196,-0.6906,yes,down,C05596,-,-,map00350,"Tyrosine metabolism",Metabolism,"Amino acid metabolism",HMDB0000735,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",28116-23-6,251.102136576,4.159,"M+H-2H2O, M+ACN+H, M+ACN+Na",C10H11NO4,0,55,metab_6081,pos_77,pos,417000,539100,450400,252400,404200,476500,677600,432600,1062000,798700,556700,570900,,,,
Isoquinoline,Òìà­ßø,0.04265,0.1217,1.2098,1.1916,0.5872,-0.7681,yes,down,C06323,-,-,-,-,-,-,HMDB0034244,"Organoheterocyclic compounds","Isoquinolines and derivatives","Not Available",119-65-3,130.065063476,4.43933333333,M+H,C9H7N,40.7,0,metab_4796,pos_5719,pos,197900,145100,190400,157100,163000,201000,424800,147900,378100,323800,174900,345500,,,,
Hymenoxon,Ä¤ÖÊ¾ÕÄÚõ¥,0.04587,0.126,1.2092,1.1644,0.2886,-1.7929,yes,down,C09482,-,-,-,-,-,-,HMDB0253305,"Organoheterocyclic compounds",Oxanes,"Not Available",57377-32-9,281.139101117,6.04741666667,M-H,C15H22O5,0,54.9,metab_7308,neg_1872,neg,49530,45080,82160,28090,54380,81890,300300,112000,259200,100900,40900,368700,,,,
"N-Linoleoyl Phenylalanine","N -ÑÇÓÍõ£»ù±½±û°±Ëá",0.02789,0.09848,1.203,1.2143,0.44,-1.1844,yes,down,-,-,-,-,-,-,-,HMDB0241982,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,426.30111748,6.67931666667,M-H,C27H41NO3,0,32,metab_6477,neg_1119,neg,701400,188000,527100,327600,365700,285000,426800,1137000,908200,1557000,868400,545200,,,,
Oligomycin,¹ÑÃ¹ËØ,0.03452,0.1069,1.2029,1.0715,1.8593,0.8948,yes,up,-,-,-,-,-,-,-,HMDB0255952,"Phenylpropanoids and polyketides","Macrolides and analogues","Not Available",-,755.501479935,6.46001666667,M+H-2H2O,C45H74O11,0,41.3,metab_1542,pos_2449,pos,172100,100600,69980,76860,82720,143300,73160,72290,26520,55720,89110,30450,,,,
D-Citrulline,"D -¹Ï°±Ëá",0.0305,0.1,1.1999,1.0735,0.6932,-0.5287,yes,down,-,-,-,-,-,-,-,HMDB0250742,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,176.102758626,0.68885,M+H,C6H13N3O3,0,31.6,metab_406,pos_1374,pos,243800,219500,304100,132000,191400,289400,323800,270100,475200,338000,274800,309300,,,,
Etiracetam,ÒÒÀ­Î÷Ì¹,0.04331,0.1232,1.1997,1.0632,2.0407,1.0291,yes,up,C07841,-,-,-,-,-,-,HMDB0252105;HMDB0015333,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",102767-28-2,171.112718575,1.87191666667,M+H,C8H14N2O2,0,54.8,metab_5151,pos_6047,pos,41960,22030,15310,35780,58520,45900,24240,19020,4164,8622,16060,35470,,,,
Creatine,¼¡Ëá,0.03691,0.111,1.1995,1.2491,1.2702,0.3451,yes,up,C00300,-,-,map01100;map00330;map00260,"Metabolic pathways;Arginine and proline metabolism;Glycine, serine and threonine metabolism",Metabolism;Metabolism;Metabolism,"Global and overview maps;Amino acid metabolism;Amino acid metabolism",PW_C000046;HMDB0000064;MJDBOTE0000560,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",57-00-1,132.076654365,0.696666666667,M+H,C4H9N3O2,94.2,0,metab_415,pos_1383,pos,16130000,20310000,14430000,12150000,14680000,14830000,12810000,11540000,15190000,10570000,10240000,12490000,,,,
"Glutarate semialdehyde",Îì¶þËá°ëÈ©,0.04188,0.1201,1.1995,1.1478,0.6323,-0.6613,yes,down,C03273,-,-,map01100;map00310,"Metabolic pathways;Lysine degradation",Metabolism;Metabolism,"Global and overview maps;Amino acid metabolism",HMDB0012233,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",5746-02-1,158.080984328,2.6813,M+ACN+H,C5H8O3,0,42.8,metab_5026,pos_5932,pos,649000,528800,847000,515300,542100,633200,1314000,626900,1382000,934600,621800,996400,,,,
D-Galactose,D-°ëÈéÌÇ,0.04961,0.1323,1.1948,1.1468,0.568,-0.816,yes,down,C00124,Carbohydrates,Monosaccharides,map01100;map04973;map04978;map00052,"Metabolic pathways;Carbohydrate digestion and absorption;Mineral absorption;Galactose metabolism","Metabolism;Organismal Systems;Organismal Systems;Metabolism","Global and overview maps;Digestive system;Digestive system;Carbohydrate metabolism",PW_C000093;HMDB0250761;HMDB0000143;HMDB0003449;MJDBOTE0001042,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",7296-64-2;59-23-4;59-23-4;10257-28-0;3646-73-9,225.061022739,0.636666666667,M+FA-H,C6H12O6,44.9,0,metab_9035,neg_2488,neg,1539000,1518000,1648000,1544000,1962000,1615000,4436000,1815000,3305000,3342000,1160000,3248000,,,,
N6-Threonylcarbamoyladenosine,6-ËÕ°±õ£°±»ù¼×õ£ÏÙÜÕËá,0.03481,0.1072,1.1945,1.1446,0.4915,-1.0247,yes,down,-,-,-,-,-,-,-,-,-,-,-,-,413.140666586,3.30018333333,M+H,C15H20N6O8,80.8,0,metab_4899,pos_5813,pos,83130,77480,193000,37900,53480,89730,200900,100600,284700,182700,94970,223600,,,,
4-Chlorobenzaldehyde,¶ÔÂÈ±½¼×È©,0.04051,0.1182,1.1913,1.1961,1.0661,0.0923,yes,up,C06648,-,-,-,-,-,-,HMDB0246392,Benzenoids,"Benzene and substituted derivatives","Benzoyl derivatives",104-88-1,141.009925627,3.18185,M+H,C7H5ClO,0,32.8,metab_4924,pos_5838,pos,862900,885100,861600,847100,936100,957000,875300,786800,880000,817100,826100,832400,,,,
"4-Hydroxy-2-oxoglutaric acid","4 -ôÇ»ù- 2-ÍªÎì¶þËá",0.03242,0.1062,1.1902,1.1664,0.2272,-2.138,yes,down,C01127,-,-,map01100;map00630,"Metabolic pathways;Glyoxylate and dicarboxylate metabolism",Metabolism;Metabolism,"Global and overview maps;Carbohydrate metabolism",HMDB0002070;PW_C001391,"Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives",1187-99-1,142.997628554,0.7298,M-H2O-H,C5H6O6,0,48.6,metab_8593,neg_595,neg,50370,10250,1085,2044,10770,30600,48920,30270,158800,81790,109000,33830,,,,
1-O-Hexadecyl-sn-glycero-3-phosphocholine,"1 - O -Ê®ÁùÍé»ù- sn -¸ÊÓÍ-3 -Á×Ëáµ¨¼î",0.04788,0.131,1.19,1.028,0.6009,-0.7348,yes,down,C13903,-,-,-,-,-,-,HMDB0243890,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,-,504.341554228,7.67991666667,M+Na,C24H52NO6P,0,64.4,metab_2703,pos_3649,pos,1049000,573000,1029000,538600,575900,809400,1102000,1027000,1244000,2204000,954000,1082000,,,,
"Polyglycerol esters of fatty acids",Ö¬·¾Ëá¾Û¸ÊÓÍõ¥,0.04861,0.1323,1.1865,1.0546,1.4547,0.5407,yes,up,-,-,-,-,-,-,-,HMDB0303271,"Lipids and lipid-like molecules",Glycerolipids,Diradylglycerols,-,450.376980633,6.20088333333,M+NH4,C24H48O6,0,56.8,metab_1343,pos_2252,pos,383100,290200,269400,395600,591200,404400,258400,309300,304000,291100,181000,260400,,,,
"PC(18:3(9Z,12Z,15Z)/18:0)",-,0.03125,0.1012,1.1851,1.5347,0.6495,-0.6226,yes,down,C00157,Lipids,Phospholipids,map01100;map00564;map00590;map00591;map00592;map05231;map04723,"Metabolic pathways;Glycerophospholipid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;alpha-Linolenic acid metabolism;Choline metabolism in cancer;Retrograde endocannabinoid signaling","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Lipid metabolism;Lipid metabolism;Lipid metabolism;Cancer: overview;Nervous system",PW_C004249;HMDB0008201;LMGP01011682,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,-,828.550007562,7.67211666667,"M+NH4, M+2Na-H",C44H82NO8P,0,88.5,metab_6148,pos_831,pos,21210000,18780000,13420000,28110000,22890000,15350000,30910000,31050000,33620000,19440000,44920000,24440000,,,,
Epinephrine,ÉöÉÏÏÙËØ,0.03523,0.1119,1.1834,1.1898,0.4098,-1.287,yes,down,C00788,"Hormones and transmitters;Hormones and transmitters","Other hormones;Neurotransmitters",map01100;map05207;map04261;map04080;map04024;map04923;map04924;map00350,"Metabolic pathways;Chemical carcinogenesis - receptor activation;Adrenergic signaling in cardiomyocytes;Neuroactive ligand-receptor interaction;cAMP signaling pathway;Regulation of lipolysis in adipocytes;Renin secretion;Tyrosine metabolism","Metabolism;Human Diseases;Organismal Systems;Environmental Information Processing;Environmental Information Processing;Organismal Systems;Organismal Systems;Metabolism","Global and overview maps;Cancer: overview;Circulatory system;Signaling molecules and interaction;Signal transduction;Endocrine system;Endocrine system;Amino acid metabolism",PW_C000048;HMDB0000068;MJDBOTE0000810,Benzenoids,Phenols,Benzenediols,51-43-4,228.087118023,3.76111666667,M+FA-H,C9H13NO3,0,49,metab_8815,neg_802,neg,439900,178900,328500,92310,182200,197700,735000,142700,871200,691600,281800,741600,,,,
PE(18:2/0:0),-,0.03674,0.1149,1.1822,1.0986,1.6134,0.6901,yes,up,-,-,-,-,-,-,-,-,-,-,-,-,476.277760501,6.4819,M-H,C23H44NO7P,95.2,0,metab_7138,neg_1718,neg,21690000,15070000,19010000,17140000,16310000,11950000,4264000,16210000,8131000,14920000,14380000,4798000,,,,
"Methylprednisolone acetate",¼×»ùÆÃÄáËÉÁú´×Ëáõ¥,0.03904,0.1157,1.1799,1.1092,1.4312,0.5172,yes,up,C08179,-,-,-,-,-,-,HMDB0014998;HMDB0254661,"Lipids and lipid-like molecules","Steroids and steroid derivatives",Hydroxysteroids,53-36-1;50-24-8,458.252933888,6.29546666667,M+ACN+H,C24H32O6,0,59.9,metab_6341,pos_4935,pos,5398000,6412000,5230000,8126000,9748000,7782000,4671000,6730000,5226000,4120000,5981000,3103000,,,,
Fludrocortisone,·úÇâ¿ÉµÄËÉ,0.04632,0.1283,1.1783,1.1572,0.2866,-1.8029,yes,down,C07004,-,-,-,-,-,-,HMDB0014825;LMST02030103,"Lipids and lipid-like molecules","Steroids and steroid derivatives",Hydroxysteroids,127-31-1,345.187612719,5.72531666667,M+H-2H2O,C21H29FO5,0,81.9,metab_4668,pos_5602,pos,11390,19280,22860,15830,4320,12320,102200,25020,31740,39200,21480,80330,,,,
"Imidazolepropionic acid",ßäßò±ûËá,0.04135,0.1192,1.178,1.02,0.6164,-0.6981,yes,down,C20522,-,-,map00340,"Histidine metabolism",Metabolism,"Amino acid metabolism",HMDB0002271,"Organoheterocyclic compounds",Azoles,Imidazoles,1074-59-5,141.065648399,0.71195,M+H,C6H8N2O2,0,54,metab_5398,pos_6287,pos,456900,493600,869600,283200,265500,479800,676900,754200,1189000,795900,591900,613700,,,,
"Glucaric acid",ÆÏÌÇ¶þËá,0.04224,0.1208,1.1779,1.1003,0.4698,-1.0899,yes,down,C00818,-,-,map01100;map00053,"Metabolic pathways;Ascorbate and aldarate metabolism",Metabolism;Metabolism,"Global and overview maps;Carbohydrate metabolism",HMDB0000663;LMFA01170108,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",87-73-0,252.072202911,2.81736666667,M+ACN+H,C6H10O8,0,36.5,metab_4992,pos_5901,pos,47020,42240,114500,25930,23330,45180,109200,60610,178300,125600,46520,114300,,,,
Cnidilide,´¨ÜºÄÚõ¥A,0.02964,0.1023,1.175,1.1141,1.1183,0.1613,yes,up,C16937,-,-,-,-,-,-,HMDB0302259,"Organoheterocyclic compounds",Isobenzofurans,"Not Available",3674-03-1,239.128403851,6.23595,M+FA-H,C12H18O2,0,42.7,metab_6373,neg_1022,neg,60120,64320,61300,65610,73160,68140,60870,49330,59130,58680,62420,60670,,,,
"N-Palmitoyl Valine","N -×Øéµõ£çÓ°±Ëá",0.0388,0.1174,1.1746,1.245,0.5219,-0.9382,yes,down,-,-,-,-,-,-,-,HMDB0241935;LMFA08020120,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,354.300963048,6.71851666667,M-H,C21H41NO3,0,55.9,metab_7054,neg_1641,neg,484900,227700,524200,521000,447300,371400,310600,1052000,997000,1105000,1026000,446900,,,,
